"Date","Price","Open","High","Low","Vol.","Change %"
"11/20/2024","9,680.0","9,580.0","9,840.0","9,440.0","20.07M","1.04%"
"11/19/2024","9,580.0","9,900.0","9,970.0","9,580.0","14.86M","-3.23%"
"11/18/2024","9,900.0","9,650.0","10,100.0","9,650.0","24.07M","2.06%"
"11/15/2024","9,700.0","9,910.0","10,000.0","9,600.0","29.35M","-2.22%"
"11/14/2024","9,920.0","10,100.0","10,200.0","9,900.0","20.73M","-2.27%"
"11/13/2024","10,150.0","10,350.0","10,400.0","10,000.0","37.98M","-2.40%"
"11/12/2024","10,400.0","10,550.0","10,650.0","10,350.0","16.10M","-0.95%"
"11/11/2024","10,500.0","10,650.0","10,700.0","10,450.0","18.36M","-1.41%"
"11/08/2024","10,650.0","10,800.0","10,850.0","10,650.0","10.13M","-0.93%"
"11/07/2024","10,750.0","10,900.0","10,950.0","10,750.0","11.31M","-0.46%"
"11/06/2024","10,800.0","10,700.0","10,850.0","10,600.0","15.27M","1.89%"
"11/05/2024","10,600.0","10,750.0","10,850.0","10,600.0","9.90M","-1.40%"
"11/04/2024","10,750.0","10,850.0","10,850.0","10,500.0","25.14M","0.00%"
"11/01/2024","10,750.0","10,900.0","10,950.0","10,750.0","11.10M","-1.83%"
"10/31/2024","10,950.0","10,900.0","11,000.0","10,800.0","13.71M","0.92%"
"10/30/2024","10,850.0","11,000.0","11,050.0","10,800.0","14.32M","-1.36%"
"10/29/2024","11,000.0","11,000.0","11,150.0","10,950.0","14.65M","0.46%"
"10/28/2024","10,950.0","11,000.0","11,100.0","10,900.0","32.91M","-1.35%"
"10/25/2024","11,100.0","11,350.0","11,350.0","11,100.0","11.38M","-1.33%"
"10/24/2024","11,250.0","11,450.0","11,450.0","11,250.0","15.05M","-1.75%"
"10/23/2024","11,450.0","11,500.0","11,550.0","11,400.0","8.94M","-0.43%"
"10/22/2024","11,500.0","11,550.0","11,700.0","11,400.0","14.41M","-0.43%"
"10/21/2024","11,550.0","11,400.0","11,800.0","11,300.0","29.17M","1.32%"
"10/18/2024","11,400.0","11,600.0","11,600.0","11,400.0","8.81M","-0.44%"
"10/17/2024","11,450.0","11,350.0","11,450.0","11,150.0","16.47M","1.33%"
"10/16/2024","11,300.0","11,350.0","11,500.0","11,200.0","20.85M","0.00%"
"10/15/2024","11,300.0","11,500.0","11,600.0","11,300.0","19.08M","-1.74%"
"10/14/2024","11,500.0","11,950.0","12,050.0","11,400.0","47.40M","-3.36%"
