Date,Close,Open,High,Low,Volume,Change
2023-07-12,9078.4,9198.4,9318.4,9038.4,15590000.0,-0.013000000000000001
2023-07-13,9358.4,9198.4,9398.3,9158.4,18030000.0,0.0308
2023-07-14,9998.2,9518.3,9998.2,9398.3,52790000.0,0.0684
2023-07-17,10238.2,10358.2,10518.2,10118.2,33420000.0,0.024
2023-07-18,10318.2,10318.2,10318.2,9998.2,17340000.0,0.0078000000000000005
2023-07-19,10478.2,10478.2,10918.1,10318.2,43130000.0,0.0155
2023-07-20,10838.1,10598.1,10878.1,10438.2,26630000.0,0.034300000000000004
2023-07-21,11198.0,11158.0,11358.0,10998.1,30500000.0,0.0332
2023-07-24,11398.0,11358.0,11398.0,10998.1,24170000.0,0.0179
2023-07-25,11198.0,11398.0,11438.0,11078.1,20300000.0,-0.0175
2023-07-26,11518.0,11198.0,11518.0,10998.1,22910000.0,0.0286
2023-07-27,11558.0,11717.9,11757.9,11278.0,24360000.0,0.0034999999999999996
2023-07-28,12157.9,11518.0,12157.9,11478.0,41840000.0,0.0519
2023-07-31,12557.8,12397.8,12557.8,12157.9,36430000.0,0.0329
2023-08-01,12237.9,12797.8,12797.8,12117.9,34260000.0,-0.0255
2023-08-02,13077.7,12157.9,13077.7,12077.9,37130000.0,0.06860000000000001
2023-08-03,13477.6,13077.7,13637.6,12917.7,47370000.0,0.030600000000000002
2023-08-04,13397.6,13597.6,13597.6,13197.7,26830000.0,-0.0059
2023-08-07,13517.6,13597.6,13717.6,13357.7,28580000.0,0.009000000000000001
2023-08-08,12877.7,13637.6,13637.6,12877.7,32490000.000000004,-0.0473
2023-08-09,12997.7,12837.7,13197.7,12637.8,28770000.0,0.009300000000000001
2023-08-10,12837.7,13117.7,13117.7,12637.8,27150000.0,-0.0123
2023-08-11,12957.7,12957.7,12957.7,12437.8,24620000.0,0.009300000000000001
2023-08-14,13597.6,13117.7,13597.6,12957.7,51070000.0,0.049400000000000006
2023-08-15,13717.6,13677.6,13717.6,13277.7,37640000.0,0.0088
2023-08-16,14597.4,13597.6,14597.4,13477.6,54350000.0,0.0641
2023-08-17,14557.4,14677.4,14957.4,14437.5,38500000.0,-0.0027
2023-08-18,13557.6,14277.5,14397.5,13557.6,46310000.0,-0.0687
2023-08-21,13117.7,13437.6,13517.6,12637.8,50630000.0,-0.032400000000000005
2023-08-22,13597.6,13277.7,13597.6,12237.9,52190000.0,0.0366
2023-08-23,13357.7,13837.6,13877.6,13197.7,32590000.000000004,-0.0176
2023-08-24,14277.5,13517.6,14277.5,13277.7,48400000.0,0.0689
2023-08-25,14557.4,14277.5,14637.4,14037.5,53060000.0,0.0196
2023-08-28,14997.4,14637.4,14997.4,14557.4,40190000.0,0.0302
2023-08-29,14997.4,15197.3,15197.3,14477.5,47540000.0,0.0
2023-08-30,15557.3,14997.4,15597.3,14637.4,47480000.0,0.0373
2023-08-31,15837.2,15597.3,15837.2,15357.3,41280000.0,0.018000000000000002
2023-09-05,15717.2,15957.2,15957.2,15597.3,39230000.0,-0.0076
2023-09-06,16077.2,15717.2,16317.1,15397.3,53400000.0,0.0229
2023-09-07,15917.2,16157.2,16157.2,15757.2,39330000.0,-0.01
2023-09-08,15837.2,15797.2,16117.2,15757.2,32869999.999999996,-0.005
2023-09-11,15437.3,15957.2,16077.2,15437.3,56130000.0,-0.0253
2023-09-12,16477.1,15477.3,16477.1,15317.3,47710000.0,0.0674
2023-09-13,15997.2,16477.1,16597.1,15797.2,47580000.0,-0.0291
2023-09-14,15437.3,15997.2,16077.2,15317.3,50530000.0,-0.035
2023-09-15,15677.2,15597.3,15717.2,15037.4,42990000.0,0.0155
2023-09-18,15237.3,15517.3,15677.2,15117.3,38560000.0,-0.0281
2023-09-19,15037.4,15397.3,15437.3,14557.4,48270000.0,-0.0131
2023-09-20,15797.2,15117.3,15837.2,14957.4,33100000.0,0.050499999999999996
2023-09-21,15237.3,15797.2,15797.2,15157.3,39300000.0,-0.0354
2023-09-22,14197.5,14677.4,14797.4,14197.5,80830000.0,-0.0682
2023-09-25,13237.7,13957.5,14237.5,13237.7,48460000.0,-0.0676
2023-09-26,12557.8,12797.8,13757.6,12397.8,70120000.0,-0.051399999999999994
2023-09-27,13237.7,12637.8,13237.7,11837.9,59800000.0,0.0541
2023-09-28,12717.8,13157.7,13157.7,12557.8,39230000.0,-0.0393
2023-09-29,12597.8,12917.7,13077.7,12557.8,25830000.0,-0.009399999999999999
2023-10-02,12797.8,12637.8,13197.7,12517.8,38110000.0,0.0159
2023-10-03,11917.9,12517.8,12637.8,11917.9,46440000.0,-0.0688
2023-10-04,12117.9,11238.0,12557.8,11238.0,56210000.0,0.0168
2023-10-05,11358.0,12197.9,12357.8,11358.0,28980000.0,-0.06269999999999999
2023-10-06,12117.9,11318.0,12117.9,11318.0,47290000.0,0.0669
2023-10-09,12357.8,12197.9,12437.8,12037.9,31650000.0,0.019799999999999998
2023-10-10,12437.8,12557.8,12917.7,12397.8,39610000.0,0.006500000000000001
2023-10-11,12837.7,12477.8,12837.7,12237.9,28310000.0,0.0322
2023-10-12,12717.8,13037.7,13037.7,12597.8,25950000.0,-0.009300000000000001
2023-10-13,12557.8,12397.8,12837.7,12197.9,34200000.0,-0.0126
2023-10-16,12237.9,12557.8,12677.8,12237.9,24050000.0,-0.0255
2023-10-17,11438.0,12397.8,12637.8,11438.0,27370000.0,-0.0654
2023-10-18,11877.9,11757.9,12237.9,11438.0,61070000.0,0.0385
2023-10-19,11518.0,11957.9,12117.9,11478.0,29670000.0,-0.030299999999999997
2023-10-20,11997.9,11558.0,12077.9,11038.1,34970000.0,0.0417
2023-10-23,11518.0,11997.9,12077.9,11438.0,26210000.0,-0.04
2023-10-24,11757.9,11677.9,11837.9,11478.0,22350000.0,0.0208
2023-10-25,11717.9,11837.9,12197.9,11677.9,31130000.0,-0.0034000000000000002
2023-10-26,10918.1,11398.0,11438.0,10918.1,58090000.0,-0.0683
2023-10-27,10878.1,11198.0,11198.0,10318.2,40510000.0,-0.0037
2023-10-30,10118.2,10638.1,10838.1,10118.2,26540000.0,-0.0699
2023-10-31,9638.3,10078.2,10398.2,9438.3,45030000.0,-0.047400000000000005
2023-11-01,10238.2,9798.3,10238.2,9518.3,48630000.0,0.0622
2023-11-02,10918.1,10558.1,10918.1,10438.2,42740000.0,0.0664
2023-11-03,10918.1,11038.1,11278.0,10718.1,49470000.0,0.0
2023-11-06,11078.1,11078.1,11118.0,10798.1,33220000.0,0.0147
2023-11-07,10918.1,10918.1,11278.0,10798.1,36920000.0,-0.0144
2023-11-08,11677.9,10918.1,11677.9,10838.1,58490000.0,0.0696
2023-11-09,12477.8,12117.9,12477.8,11997.9,77130000.0,0.06849999999999999
2023-11-10,12597.8,12317.8,13157.7,12277.8,70290000.0,0.0096
2023-11-13,12757.8,12757.8,12957.7,12197.9,56660000.0,0.0127
2023-11-14,12917.7,13117.7,13357.7,12797.8,43640000.0,0.0125
2023-11-15,13077.7,13477.6,13517.6,12877.7,50240000.0,0.0124
2023-11-16,13437.6,12917.7,13437.6,12837.7,44310000.0,0.0275
2023-11-17,12957.7,13437.6,13637.6,12797.8,76560000.0,-0.035699999999999996
2023-11-20,13517.6,12637.8,13597.6,12637.8,61430000.0,0.0432
2023-11-21,13597.6,13677.6,13797.6,13397.6,36730000.0,0.0059
2023-11-22,13757.6,13597.6,13837.6,13397.6,53450000.0,0.0118
2023-11-23,12797.8,13917.6,13997.5,12797.8,56520000.0,-0.0698
2023-11-24,13277.7,13037.7,13277.7,12477.8,71090000.0,0.0375
2023-11-27,12877.7,13277.7,13277.7,12837.7,27630000.0,-0.0301
2023-11-28,12997.7,12877.7,13037.7,12397.8,44470000.0,0.009300000000000001
